delta_DM error_delta_dm delta_rm error_rm B_par error_B_par
1.41319130e-03 2.48420000e-04 -9.94897370e-02 7.95951989e-03 -8.65929311e-09 1.67241988e-09
8.32902253e-04 2.89160000e-04 2.45644403e-02 1.96524044e-03 3.62758793e-09 1.29240256e-09
6.07463425e-04 9.83800000e-05 9.86316761e-02 7.89092547e-03 1.99710726e-08 3.60748169e-09
5.57229982e-04 2.16250000e-04 7.95152345e-02 6.36151264e-03 1.75517725e-08 6.95473211e-09
8.05875860e-04 1.00160000e-04 1.94296764e-01 1.55447449e-02 2.96553143e-08 4.38338430e-09
8.28790582e-04 5.92940000e-04 3.29659631e-01 2.63743333e-02 4.89244635e-08 3.52201094e-08
9.36386765e-04 2.73660000e-04 4.81480981e-01 3.85195091e-02 6.32454055e-08 1.91635675e-08
1.30726899e-03 2.20180000e-04 5.25348737e-01 4.20301174e-02 4.94296853e-08 9.21681216e-09
1.04384339e-03 2.99040000e-04 5.27782404e-01 4.22290781e-02 6.21905893e-08 1.84981846e-08
1.21584525e-03 2.52940000e-04 4.69518175e-01 3.75640097e-02 4.74984260e-08 1.05869283e-08
